"identificador";"nome";"avaliacao"
"14738031";INTERNATIONAL JOURNAL OF SIMULATION: SYSTEMS, SCIENCE & TECHNOLOGY (PRINT);B4
SESENA;International Workshop on Software Engineering for Sensor Network Applications;B4
"2236739X";RETEC REVISTA DE EXATAS E TECNOLÓGICAS;nulo
"13528505";ENVIRONMENTAL AND ECOLOGICAL STATISTICS;A4
"00207748";INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS;A2
"16609336";APPLIED MECHANICS AND MATERIALS;nulo
WIMOB;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications;A3
"10946705";JOURNAL OF SERVICE RESEARCH;A1
"08858969";IEEE TRANSACTIONS ON ENERGY CONVERSION;A1
"09699988";ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT (PRINT);A2
IPTA;International Conference on Image Processing Theory Tools and Applications;B1
"19473206";INTERNATIONAL JOURNAL OF AGRICULTURAL AND ENVIRONMENTAL INFORMATION SYSTEMS;B2
"14698005";KNOWLEDGE ENGINEERING REVIEW (ONLINE);A4
SIGGRAPH;International Conference and Exibition on Computer Graphics and Interactive Techniques;A3
"08848173";INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS (PRINT);A1
"10498923";INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL (PRINT);A1
CAISE;International Conference on Advanced Information Systems Engineering;A3
EUROCRYPT;International Conference on Theory and Applications of Cryptographic Techniques;A1
STAG;Eurographics Italian Chapter Conference;B4
CAIP;International Conference on Computer Analysis of Images and Patterns;A4
"00255610";MATHEMATICAL PROGRAMMING;A1
ICAC;International Conference on Autonomic Computing;A3
ICARSC;IEEE International Conference on Autonomous Robot Systems and Competitions;B1
WASHES;Workshop on Social, Human, and Economic Aspects of Software;B4
CIDR;Biennial Conference on Innovative Data Systems Research;A2
"14327643";SOFT COMPUTING (BERLIN. PRINT);A1
"00219991";JOURNAL OF COMPUTATIONAL PHYSICS (PRINT);A1
ICARM;International Conference on Advanced Robotics and Mechatronics;B3
"02721732";IEEE MICRO;A2
"00262692";MICROELECTRONICS JOURNAL;nulo
"17389976";INTERNATIONAL JOURNAL OF SECURITY AND ITS APPLICATIONS;B2
"23276126";AMERICAN JOURNAL OF EDUCATIONAL RESEARCH;nulo
"10597794";HUMAN MUTATION;A2
"20724292";REMOTE SENSING;A1
"1809239X";REVISTA BRASILEIRA DE GESTÃO E DESENVOLVIMENTO REGIONAL;B3
PIMRC;International Symposium on Personal, Indoor and Mobile Radio Communications;A2
PAAMS;International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability;A4
"01026933";REVISTA GAÚCHA DE ENFERMAGEM (UFRGS);A4
ICTAC;International Colloquium on Theoretical Aspects of Computing;B1
ISVC;International Symposium on Visual Computing;A3
EMBC;Annual International Conference of the IEEE Engineering in Medicine and Biology Society;A2
ICISSP;International Conference on Information Systems Security and Privacy;B2
CATE;Computers and Advanced Technology in Education;B4
"18722083";RECENT PATENTS ON BIOTECHNOLOGY;B2
"14346036";EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS (INTERNET);B1
"09257721";COMPUTATIONAL GEOMETRY;A4
"14607425";JASSS (GUILDFORD);A1
ICMPC;International Conference on Music Perception and Cognition;B3
"15501329";INTERNATIONAL JOURNAL OF DISTRIBUTED SENSOR NETWORKS;A2
"18961533";CENTRAL EUROPEAN JOURNAL OF COMPUTER SCIENCE;nulo
"11330686";TEST (MADRID);A2
IWQoS;IEEE/ACM International Symposium on Quality of Service;A4
"15163725";BIOSCIENCE JOURNAL (UFU);B2
"00225193";JOURNAL OF THEORETICAL BIOLOGY;A1
"2176462X";DISCIPLINARUM SCIENTIA. SÉRIE CIÊNCIAS NATURAIS E TECNOLÓGICAS;nulo
BPMS2;Workshop on Social and Human Aspects of Business Process Management;B4
"22109838";IUTAM PROCEDIA;nulo
FOGA;ACM Conference on Foundations of Genetic Algorithms;B2
GIR;Workshop on Geographic Information Retrieval;B1
MSR;Working Conference on Mining Software Repositories;A1
"01665316";PERFORMANCE EVALUATION;A4
"00160032";JOURNAL OF THE FRANKLIN INSTITUTE;A1
"22234292";QUANTITATIVE IMAGING IN MEDICINE AND SURGERY;A3
"19380232";INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY PROJECT MANAGEMENT;B1
GCCE;IEEE Global Conference on Consumer Electronics;B1
"01036513";PRODUÇÃO (SÃO PAULO. IMPRESSO);B1
GeoPROCESSING-IARIA;IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services;B4
ICIVC;International Conference on Image, Vision and Computing;B4
LA-WEB;Latin American Web Congress;B4
ACIVS;Advanced Concepts for Intelligent Vision Systems;B2
"21617856";GAMES FOR HEALTH: RESEARCH, DEVELOPMENT, AND CLINICAL APPLICATIONS;A1
SMusC;Sound and Music Computing Conference;A4
ISPA;IEEE International Symposium on Parallel and Distributed Processing with Applications;B2
AES-ICSA;AES International Conference on Semantic Audio;B2
SCCTSA;International Workshop on Smart City Clouds: Technologies, Systems and Applications;B4
"21656282";ACADEMIC JOURNAL OF SCIENCE;nulo
ICARV;International Conference on Control, Automation, Robotics and Vision;B2
"19398018";JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY;A4
"01005502";REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (IMPRESSO);nulo
"25259555";REVISTA SISTEMAS E MÍDIAS DIGITAIS;nulo
"03625915";ACM TRANSACTIONS ON DATABASE SYSTEMS;A2
"00958956";JOURNAL OF COMBINATORIAL THEORY. SERIES B (PRINT);A2
PLDI;SIGPLAN Conference on Programming Language Design and Implementation;A1
"0022460X";JOURNAL OF SOUND AND VIBRATION;A1
"09601481";RENEWABLE ENERGY;A1
"15443566";ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION;A4
"2179684X";REVISTA BRASILEIRA DE ADMINISTRAÇÃO CIENTÍFICA;nulo
"19391382";IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES;A1
"10411135";IEEE PHOTONICS TECHNOLOGY LETTERS;A2
MULTITEMP;International Workshop on the Analysis of Multitemporal Remote Sensing Images;B4
DATAANALYTICS-IARIA;IARIA International Conference on Data Analytics;B4
LocWeb;International Workshop on Location and the Web;B3
"15673200";REMOTE SENSING AND DIGITAL IMAGE PROCESSING;B1
ICECS;IEEE International Conference on Electronics, Circuits and Systems;B1
"2311553X";NON-CODING RNA;A4
ISCAS;IEEE International Symposium on Circuits and Systems;A2
EUROMICRO;Euromicro Conference on Software Engineering and Advanced Applications;A4
"23270039";JOURNAL OF MANAGEMENT ANALYTICS;A1
"00401951";TECTONOPHYSICS (AMSTERDAM);A1
SSCC;International Symposium on Security in Computing and Communications;B2
"23166517";INTERNATIONAL JOURNAL OF KNOWLEDGE ENGINEERING AND MANAGEMENT - IJKEM;nulo
SIGDOC;ACM International Conference on Design of Communication;B2
ECSAW;European Conference on Software Architecture Workshops;B2
"23186356";FORSCIENCE;nulo
IFIPISC;IFIP International Information Security Conference;A4
"15287106";AACE INTERNATIONAL TRANSACTIONS;nulo
"1745008X";INTERNATIONAL JOURNAL OF TRANSITIONS AND INNOVATION SYSTEMS (IJTIS);nulo
EC;ACM conference on Economics and Computation;A1
RSS;Robotics: Science and Systems;A1
PATMOS;International Workshop on Power and Timing Modeling, Optimization and Simulation;B2
"19725787";JOURNAL OF FORMALIZED REASONING;A1
"22915222";JMIR MHEALTH UHEALTH;B1
"15193829";REVISTA BRASILEIRA DE SAUDE MATERNO INFANTIL;B2
"0103636X";BOLEMA. BOLETIM DE EDUCAÇÃO MATEMÁTICA (UNESP. RIO CLARO. IMPRESSO);B2
"01420615";INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;A1
CSC;SIAM Workshop on Combinatorial Scientific Computing;B3
GRAPP;International Conference on Computer Graphics Theory and Applications;B2
"03667022";CHEMISTRY LETTERS;A4
"01018205";COMPUTATIONAL & APPLIED MATHEMATICS;nulo
"02195259";ADVANCES IN COMPLEX SYSTEMS;B2
"10414347";IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING (PRINT);A1
"15729338";ANNALS OF OPERATIONS RESEARCH (DORDRECHT. ONLINE);A2
"09298215";JOURNAL OF NEW MUSIC RESEARCH;A1
"18951767";SCALABLE COMPUTING. PRACTICE AND EXPERIENCE;B2
"17427967";INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT (PRINT);A4
"13438875";JOURNAL OF VISUALIZATION;B1
"10429247";ENGINEERING MANAGEMENT JOURNAL;A4
"19478305";INTERNATIONAL JOURNAL OF INNOVATION IN DIGITAL ECONOMY;nulo
I2MTC;IEEE International Instrumentation and Measurement Technology Conference;A4
FUZZIEEE;IEEE International Conference on Fuzzy Systems;A3
WP2P+;Workshop de Redes P2P, Dinâmicas, Sociais e Orientadas a Conteúdo;B4
ENIC;European Network Intelligence Conference;B3
"23146141";BIOMED RESEARCH INTERNATIONAL;A3
"23173963";JOURNAL OF MODERN PROJECT MANAGEMENT;B2
"19802331";REVISTA DA SET;nulo
"10944087";OPTICS EXPRESS;A2
SSRR;International Symposium on Safety, Security and Rescue Robotics;A3
"17499151";INTERNATIONAL JOURNAL OF TEACHING AND CASE STUDIES;nulo
SBSeg;Simpósio Brasileiro em Segurança da Informação e de Sistemas Computacionais;B1
ICIT;IEEE International Conference on Industrial Technology;A3
"00201812";INSECTES SOCIAUX;A3
"10638210";IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS (PRINT);A2
"09434062";COMPUTATIONAL STATISTICS (ZEITSCHRIFT);B1
"17415659";INTERACTIVE TECHNOLOGY AND SMART EDUCATION;A3
ISCE;IEEE International Symposium on Consumer Electronics;B1
IFM;International Conference on Integrated Formal Methods;A3
A-TEST;EST - International Workshop on Automating Test Case Design, Selection and Evaluation;B4
SPA;Signal Processing: Algorithms, Architectures, Arrangements, and Applications Conference;B2
ISAmI;International Symposium on Ambient Intelligence;B3
"1991637X";AFRICAN JOURNAL OF AGRICULTURAL RESEARCH;nulo
"10512004";DIGITAL SIGNAL PROCESSING (PRINT);A1
"00320935";PLANTA (HEIDELBERG;A1
"16130073";CENTRAL EUROPE CEUR WORKSHOP PROCEEDINGS;B3
"20762895";INTERNATIONAL JOURNAL OF ENERGY AND ENVIRONMENT (PRINT);nulo
"15361284";IEEE WIRELESS COMMUNICATIONS;A1
ARM;Workshop on Adaptive and Reflective Middleware;B3
"23172606";ENCICLOPEDIA BIOSFERA;nulo
SSC;Social Simulation Conference;B4
ICEGOV;International Conference on Theory and Practice of Eletronic Governance;B1
"10526234";SIAM JOURNAL ON OPTIMIZATION (PRINT);A2
IEEESCC;IEEE International Conference on Services Computing;A4
ECSA;European Conference on Software Architecture;A4
HIS;International Conference on Hybrid Intelligent Systems;B2
"21924376";EURO JOURNAL ON TRANSPORTATION AND LOGISTICS;A1
"0300483X";TOXICOLOGY (AMSTERDAM);A2
"18709044";POLIBITS;nulo
AMIA;Annual Symposium of the American Medical Informatics Association;A3
"10798587";INTELLIGENT AUTOMATION AND SOFT COMPUTING;B1
"1942390X";INTERNATIONAL JOURNAL OF MOBILE HUMAN COMPUTER INTERACTION;B2
"02197200";JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY (PRINT);B1
"19422644";THE INTERNATIONAL JOURNAL ON ADVANCES IN NETWORKS AND SERVICES;nulo
"22251456";INTERNATIONAL JOURNAL OF MULTIMEDIA TECHNOLOGY;nulo
CARLA;Latin American High Performance Computing Conference;nulo
"17411106";INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES (PRINT);A3
ICCHP;International Conference on Computers Helping People with Special Needs;B1
"22381295";REVISTA INTERCIÊNCIA E SOCIEDADE;nulo
SWEET;Workshop on Scalable Workflow Execution Engines and Technologies;B4
"19814984";REVISTA DE RADIODIFUSÃO;nulo
"02235234";EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY;A1
SIBGRAPI;Conference on Graphics, Patterns and Images;A3
FIE;IEEE Frontiers in Education Conference;A3
"07182724";JOURNAL OF TECHNOLOGY MANAGEMENT & INNOVATION;B2
CELDA;Cognition and Exploratory Learning in Digital Age;B4
CCS;ACM Symposium on Computer and Communications Security;A1
"09223444";ELSEVIER (AMSTERDAM);nulo
"19378823";REVISTA LATINOAMERICANA Y DEL CARIBE DE LA ASOCIACIO'N DE SISTEMAS DE INFORMACIO'N;nulo
CAMAD;IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks;B1
AVSS;IEEE International Conference on Advanced Video and Signal Based Surveillance;A3
"00014966";THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;A2
ICSI;International Conference on Swarm Intelligence;A4
AGILEGIS;Conference on Geographic Information Science;B3
"21998531";JOURNAL OF OPEN INNOVATION: TECHNOLOGY, MARKET, AND COMPLEXITY;A1
"20329806";SIGNATA: ANNALES DES SÉMIOTIQUES;nulo
"19805322";CLINICS;A2
"09877053";NEUROPHYSIOLOGIE CLINIQUE (PARIS);A3
MFCS;International Symposium on Mathematical Foundations of Computer Science;A3
"21646627";ADVANCED SCIENCE, ENGINEERING AND MEDICINE;nulo
"14678640";COMPUTATIONAL INTELLIGENCE (ONLINE);A4
MASLE;Workshop in Multiagent System Based Learning Environments;B4
"14320622";APPLICABLE ALGEBRA IN ENGINEERING, COMMUNICATION AND COMPUTING (INTERNET);A4
DSAA;IEEE International Conference on Data Science and Advanced Analytics;B1
"15483924";INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING;B2
ISTAR;International i*Workshop;B4
CCNC;Annual IEEE Consumer Communications & Networking Conference;A3
"16191366";SOFTWARE AND SYSTEMS MODELING;A2
IUI;International Conference on Intelligent User Interfaces;A2
"0102311X";CADERNOS DE SAÚDE PÚBLICA (ENSP. IMPRESSO);B2
"0955792X";JOURNAL OF LOGIC AND COMPUTATION;A1
"21514755";CREATIVE EDUCATION;nulo
"23952946";INTERNATIONAL JOURNAL OF INNOVATIVE TRENDS IN ENGINEERING;nulo
WER;Workshop on Requirements Engineering;A4
"23274697";IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING;A2
WCCI;IEEE World Congress on Computational Intelligence;B4
"1450216X";EUROPEAN JOURNAL OF SCIENTIFIC RESEARCH;nulo
"09575820";PROCESS SAFETY AND ENVIRONMENTAL PROTECTION;A1
"22388079";TEAR - REVISTA DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA;nulo
"10647570";JOURNAL OF NETWORK AND SYSTEMS MANAGEMENT;A2
"14712105";BMC BIOINFORMATICS;A1
"19331711";JOURNAL OF THE AMERICAN SOCIETY OF HYPERTENSION;A2
"17729890";JOURNAL IN COMPUTER VIROLOGY;A2
SERPWC;International Conference on Software Engineering Research and Practice;B3
"26659182";JOURNAL OF COMPUTER LANGUAGES;B3
VLSI;OC - International Conference on Very Large Scale Integration;B1
EURO;European Conference on Operational Research;B4
"14735504";INTERNATIONAL JOURNAL OF ASTROBIOLOGY (PRINT);A3
"1549960X";JOURNAL OF CHEMICAL INFORMATION AND MODELING (ONLINE);A1
IPCCC;International Performance, Computing, and Communications Conference;B1
CIC;International Conference on Collaboration and Internet Computing;B2
HCIST;International Conference on Health and Social Care Information Systems and Technologies;B4
"22929495";JMIR HUMAN FACTORS;nulo
MMSYS;ACM Multimedia Systems Conference;A2
"09298665";PROTEIN AND PEPTIDE LETTERS;B2
"2212764X";EUROPEAN RESEARCH IN TELEMEDICINE / LA RECHERCHE EUROPÉENNE EN TÉLÉMÉDECINE;B2
GIScience;International Conference on Geographic Information Science;A3
"19824351";REVISTA BRASILEIRA DE METEOROLOGIA;B3
ESSDERC;European Solid State Device Research Conference;B1
CICLING;International Conference on Intelligent Text Processing and Computational Linguistics;A3
"13504851";APPLIED ECONOMICS LETTERS (PRINT);B1
"07140045";SURVEY METHODOLOGY;B2
EuroPloP;European Conference on Pattern Languages of Programs;B2
"19424787";WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY;A1
SBBD;Simpósio Brasileiro de Banco de Dados;A4
"16765680";GENETICS AND MOLECULAR RESEARCH;B2
ISI;IEEE International Conference on Intelligence and Security Informatics;B1
"09555986";FLOW MEASUREMENT AND INSTRUMENTATION;A3
"21609918";INTERNATIONAL JOURNAL OF E-PLANNING RESEARCH;A3
"15487709";JOURNAL OF COMMUNICATION AND COMPUTER;nulo
"10811451";INTERNATIONAL JOURNAL OF VIRTUAL REALITY;nulo
"19985509";GLOBAL TELEMEDICINE AND EHEALTH UPDATES: KNOWLEDGE RESOURCES;nulo
ARC;International Symposium on Applied Reconfigurable Computing;B2
SBCM;Simpósio Brasileiro de Computação Musical;B1
"15737616";EMPIRICAL SOFTWARE ENGINEERING (DORDRECHT. ONLINE);A1
"22379363";JOURNAL OF COLOPROCTOLOGY (RIO DE JANEIRO. IMPRESSO);B3
WPCCG;Workshop de Pesquisa em Computação dos Campos Gerais;B4
SCA;ACM SIGGRAPH/Eurographics Symposium on Computer Animation;A3
"01678655";PATTERN RECOGNITION LETTERS;A2
"18082882";CUSTOS E @GRONEGÓCIO ONLINE;B3
"00344257";REMOTE SENSING OF ENVIRONMENT;A1
"19842902";ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO;B2
WSL;Workshop de Software Livre;B4
EuroGP;European Conference on Genetic Programming;A4
"00411655";TRANSPORTATION SCIENCE;A1
PDPTAWC;International Conference on Parallel and Distributed Processing Techniques and Applications;B2
"17402085";INTERNATIONAL JOURNAL OF COLLABORATIVE ENTERPRISE;nulo
"21643024";OPEN JOURNAL OF RADIOLOGY;nulo
"19516355";EUR. PHYS. J. SPECIAL TOPICS;A3
PE-WASUN;ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks;B4
"10772626";IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS;A1
"23299290";IEEE/ACM TRANSACTIONS ON AUDIO, SPEECH AND LANGUAGE PROCESSING;A1
"09254773";MECHANISMS OF DEVELOPMENT;A3
"23773766";IEEE ROBOTICS AND AUTOMATION LETTERS;A1
PSIVT;Pacific-Rim Symposium on Image and Video Technology;B2
ADHOC-NOW;OW - International Conference on Ad-Hoc Networks and Wireless;B2
"14712180";BMC MICROBIOLOGY (ONLINE);A2
ESA;European Symposium on Algorithms;A3
"10689605";INTERNATIONAL JOURNAL OF WIRELESS INFORMATION NETWORKS;A4
PADS;ACM SIGSIM Conference on Principles of Advanced Discrete Simulation;B1
GECON;International Conference on Economics of Grids, Clouds, Systems and Services;B3
GAMEON;Annual Simulation and AI in Games Conference;B4
"00219150";ATHEROSCLEROSIS (AMSTERDAM);A1
SBSC;Simpósio Brasileiro de Sistemas Colaborativos;B1
SOCIALEDU;International Workshop on Social Computing in Digital Education;B4
"18090761";REVISTA SAÚDE.COM;nulo
CHIIR;Conference on Human Information Interaction and Retrieval;B2
"24473634";TENDÊNCIAS E TÉCNICAS EM SISTEMAS COMPUTACIONAIS;nulo
"15443574";COMPUTERS IN ENTERTAINMENT;B1
ISC2;IEEE International Smart Cities Conference;B1
"15737462";ARTIFICIAL INTELLIGENCE REVIEW (DORDRECHT. ONLINE);A1
"15190951";CADERNOS ADENAUER (SÃO PAULO);nulo
"09252312";NEUROCOMPUTING (AMSTERDAM);A1
"16512022";LOGOPEDICS PHONIATRICS VOCOLOGY;A4
AAATE;Association for the Advancement of Assistive Technology in Europe Congress;B4
QEST;International Conference on Quantitative Evaluation of Systems;A4
DSN;Annual IEEE/IFIP International Conference on Dependable Systems and Networks;A2
"17560381";BIODATA MINING;A1
nulo;JOURNAL OF SOFTWARE ENGINEERING AND RESEARCH DEV (JSERD);B1
"08856125";MACHINE LEARNING;A3
"01205609";INGENIERIA E INVESTIGACION;B1
"21412286";JOURNAL OF NEUROSCIENCE AND BEHAVIORAL HEALTH;nulo
"15415856";LIMNOLOGY AND OCEANOGRAPHY, METHODS;A2
"09218890";ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT);A1
SBESC;Brazilian Symposium on Computing System Engineering;B1
MOBILECLOUD;International Conference on Mobile Cloud, Computing and Service Engineering;A4
"16457641";IADIS INTERNATIONAL JOURNAL ON WWW/INTERNET;nulo
"18685137";JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING;A2
"22368434";JOURNAL FOR APPLIED COMPUTING RESEARCH;nulo
"15513203";IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;A1
LDAV;IEEE Symposium on Large Data Analysis and Visualization;B1
"00242160";LIBRARY (LONDON);B3
CODES+ISSS;International Conference on Hardware/Software Codesign and System Synthesis;A3
"13513249";NATURAL LANGUAGE ENGINEERING (PRINT);A1
WTICIFE;Workshop de Tecnologia da Informação e Comunicação das Instituições Federais de Ensino Superior Do Brasil;B4
"13128876";INTERNATIONAL JOURNAL OF MATHEMATICAL ANALYSIS;B2
INDIN;IEEE International Conference on Industrial Informatics;A3
IEMSS;International Congress on Environmental Modelling & Software;B4
"21769133";COGITARE ENFERMAGEM;nulo
"0143991X";INDUSTRIAL ROBOT;A3
"19367228";ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS);A2
WUWNET;International Conference on UnderWater Networks and Systems;B2
"00207225";INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE;A1
"17451345";IEICE TRANSACTIONS ON COMMUNICATIONS (ONLINE);B2
"1991962X";GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS;nulo
NFmcp;International Workshop on New Frontiers in Mining Complex Patterns;B2
"1070986X";IEEE MULTIMEDIA;A1
"20799292";ELECTRONICS (SWITZERLAND);B1
"02666669";INFORMATION DEVELOPMENT;A2
"00219002";JOURNAL OF APPLIED PROBABILITY;A4
SOSE;IEEE International Symposium on Service-Oriented System Engineering;A3
"22338985";INTERNATIONAL JOURNAL OF GENUINETRADITIONAL MEDICINE;nulo
"15728196";WIRELESS NETWORKS (ONLINE);A2
ICSLE;International Conference on Smart Learning Environments;B3
"1664302X";FRONTIERS IN MICROBIOLOGY (ONLINE);A2
"23215933";IOSR JOURNAL OF ECONOMICS AND FINANCE;nulo
ACM CC;Creativity & Cognition;B1
"00243795";LINEAR ALGEBRA AND ITS APPLICATIONS;A2
"15596915";APPLIED COMPUTING REVIEW;nulo
COMPLENET;INTERNATIONAL CONFERENCE ON COMPLEX NETWORKS;B4
"13845810";DATA MINING AND KNOWLEDGE DISCOVERY;A1
ICNP;International Conference on Network Protocols;A2
"1751956X";IET INTELLIGENT TRANSPORT SYSTEMS;A1
TARK;Conference on Theoretical Aspects of Rationality and Knowledge;B3
CARE;Workshop on Collaborative Agents Research and Development;B4
IEEE VIS;IEEE Visualization;A1
"10636692";IEEE/ACM TRANSACTIONS ON NETWORKING (PRINT);A1
CASA;Conference on Computer Animation and Social Agents;B3
"13623060";INTERNATIONAL JOURNAL OF ELECTRONICS (ONLINE);B1
ACISP;Australasian Conference on Information Security and Privacy;A4
PervasiveHealth;International Conference on Pervasive Computing Technologies for Healthcare;A3
ABCIBER;Congresso Brasileiro de Pesquisadores em Cibercultura;B4
"15171256";REVISTA ELETRÔNICA DO MESTRADO EM EDUCAÇÃO AMBIENTAL;nulo
HOST;IEEE International Symposium on Hardware Oriented Security and Trust;A2
"02506807";ANNALS OF NUTRITION & METABOLISM;A3
"02780046";IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT);A1
"00429007";VOX SANGUINIS (BASEL. 1956);A4
ISMAR;International Symposium on Mixed and Augmented Reality;A3
CPM;Annual Symposium on Combinatorial Pattern Matching;A4
IEEENANO;International Conference on Nanotechnology;B2
ICMCR;International Conference on Mechatronics, Control and Robotics;B4
CONCUR;International Conference on Concurrency Theory;A3
EVA;Electronic Visualisation and the Arts;B3
SARNOFF;IEEE Sarnoff Symposium;B3
"22150161";METHODSX;B2
"09698043";APPLIED RADIATION AND ISOTOPES;B1
"1618727X";JOURNAL OF DIGITAL IMAGING (INTERNET);A2
DFT;IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems;A4
"03032647";BIOSYSTEMS (AMSTERDAM. PRINT);A2
CRYPTO;International Cryptology Conference;A1
TEEM;Technological Ecosystems for Enhancing Multiculturality;A2
BIGDSE;IEEE/ACM International Workshop on Big Data Software Engineering;B2
"18632386";SERVICE ORIENTED COMPUTING AND APPLICATIONS;A2
EuCNC;European Conference on Networks and Communications;A4
T&DLA;IEEE PES Transmission & Distribution Conference and Exposition Latin America;B2
MARMI;International Workshop on Multimedia Analysis and Retrieval for Multimodal Interaction;B4
ILP;International Conference on Inductive Logic Programming;B3
VRCAI;International Conference on Virtual Reality Continuum and its Applications;A4
ICPC;International Conference on Program Comprehension;A3
"00189391";IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT;A2
VRIC;Virtual Reality International Conference;B1
"09258574";ECOLOGICAL ENGINEERING;A1
"22145796";BIG DATA RESEARCH;A1
MIG;ACM Siggraph Conference on Motion in Games;A4
ICAROB;International Conference on Artificial Life and Robotics;B4
ECML;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases;A2
STOC;Annual ACM Symposium on Theory of Computing;A1
ICMC;International Computer Music Conference;A3
"11355948";PROCESAMIENTO DEL LENGUAJE NATURAL;A2
NCA;IEEE International Symposium on Network Computing and Applications;B1
ANPPOM;Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música;B3
"02181274";INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING;A2
"15504859";ACM TRANSACTIONS ON SENSOR NETWORKS;A2
"21769206";SAÚDE E PESQUISA;nulo
WISE;International Conference on Web Information Systems Engineering;A3
"14678659";COMPUTER GRAPHICS FORUM (ONLINE);A2
"19453124";JOURNAL OF SOFTWARE ENGINEERING AND APPLICATIONS;nulo
ISADS;International Symposium on Autonomous Decentralized Systems;B1
"14365057";COMPUTING (WIEN. INTERNET);A1
"19398115";JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL, IMAGE, AND VIDEO TECHNOLOGY (ONLINE);A4
ACHI-IARIA;IARIA International Conference on Advances in Computer-Human Interactions;B4
PPSN;International Conference on Parallel Problem Solving from Nature;A4
ECC;European Control Conference;A2
DESAFIE;Workshop de Desafios da Computação Aplicada à Educação;B4
"20900147";JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING;A3
"00096725";CIÊNCIA E CULTURA;nulo
ISGTEUROPE;Europe - IEEE International Conference on Innovative Smart Grid Technologies;B2
"19430663";IEEE EMBEDDED SYSTEMS LETTERS;A2
"07300301";ACM TRANSACTIONS ON GRAPHICS;A1
PODC;ACM Symposium on Principles of Distributed Computing;A2
"1433755X";PATTERN ANALYSIS AND APPLICATIONS;A4
"00397857";SYNTHESE;A1
SIMPDA;INTERNATIONAL SYMPOSIUM ON DATA-DRIVEN PROCESS DISCOVERY AND ANALYSIS;B3
AUDIOMOSTLY;Audio Mostly Conference;B2
"00324728";POPULATION STUDIES;nulo
DDECS;IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems;B2
"23518707";INTERNATIONAL JOURNAL OF ENGINEERING AND MATHEMATICAL MODELLING;nulo
"19825676";TROPICAL PLANT PATHOLOGY (IMPRESSO);A4
"23169451";ABAKÓS;nulo
"00036072";ANTONIE VAN LEEUWENHOEK (GEDRUKT);B1
COMSNETS;International Conference on COMmunication Systems & NETworkS;A3
BIOSIG;International Conference of the Biometrics Special Interest Group;B1
"16771966";TEMA. TENDÊNCIAS EM MATEMÁTICA APLICADA E COMPUTACIONAL;nulo
